0.1	0.489524	0.24989
0.2	0.470044	0.249103
0.3	0.43916	0.246299
0.4	0.42823	0.244849
0.5	0.399958	0.239992
0.6	0.388903	0.237658
0.7	0.367786	0.23252
0.8	0.367735	0.232506
0.9	0.335874	0.223063
1	0.342973	0.225343
1.1	0.323173	0.218732
1.2	0.326611	0.219936
1.3	0.307718	0.213028
1.4	0.306069	0.212391
1.5	0.288291	0.205179
1.6	0.27281	0.198385
1.7	0.268806	0.19655
1.8	0.263981	0.194295
1.9	0.263512	0.194073
2	0.242388	0.183636
2.1	0.241765	0.183315
2.2	0.239323	0.182047
2.3	0.236719	0.180683
2.4	0.244942	0.184946
2.5	0.223672	0.173643
2.6	0.224492	0.174095
2.7	0.210948	0.166449
2.8	0.213154	0.167719
2.9	0.206827	0.16405
3	0.207581	0.164491
3.1	0.203731	0.162225
3.2	0.195391	0.157213
3.3	0.189668	0.153694
3.4	0.187587	0.152398
3.5	0.183955	0.150116
3.6	0.192385	0.155373
3.7	0.180939	0.1482
3.8	0.171742	0.142247
3.9	0.174626	0.144132
4	0.166723	0.138926
4.1	0.165137	0.137867
4.2	0.163891	0.137031
4.3	0.158525	0.133395
4.4	0.157576	0.132746
4.5	0.153491	0.129932
4.6	0.149068	0.126847
4.7	0.148733	0.126612
4.8	0.150788	0.128051
4.9	0.148083	0.126155
5	0.146364	0.124941
5.1	0.13857	0.119368
5.2	0.1388	0.119534
5.3	0.141172	0.121242
5.4	0.133212	0.115467
5.5	0.134557	0.116452
5.6	0.132383	0.114858
5.7	0.131483	0.114195
5.8	0.124847	0.10926
5.9	0.128326	0.111859
6	0.128091	0.111684
6.1	0.126198	0.110272
