0.57	16.6826	842.685	0.0091	0.00901719	16.6856	842.591
0.572	12.5309	670.022	0.0072	0.00714816	12.5358	669.911
0.574	11.0383	636.865	0.0067	0.00665511	11.0436	636.762
0.576	29.0202	1285.41	0.0095	0.00940975	29.0227	1285.27
0.578	13.9044	747.506	0.008	0.007936	13.9084	747.404
0.58	19.7167	918.93	0.0102	0.010096	19.7185	918.863
0.582	16.9728	881.385	0.0095	0.00940975	16.9753	881.307
0.584	19.246	971.051	0.0079	0.00783759	19.2501	970.902
0.586	19.7041	976.374	0.0085	0.00842775	19.7076	976.245
0.588	17.9263	976.129	0.0077	0.00764071	17.9306	975.986
0.59	17.2063	883.448	0.0079	0.00783759	17.2104	883.32
0.592	18.3604	915.949	0.0101	0.00999799	18.3623	915.884
0.594	20.4733	1084.42	0.0084	0.00832944	20.4769	1084.28
0.596	16.6072	858.592	0.0083	0.00823111	16.6109	858.479
0.598	18.6805	953.778	0.009	0.008919	18.6835	953.673
0.6	16.344	885.339	0.0073	0.00724671	16.3487	885.198
0.602	23.1645	1040.39	0.0127	0.0125387	23.1638	1040.42
0.604	18.197	848.463	0.0082	0.00813276	18.2009	848.332
0.606	18.0577	903.891	0.0081	0.00803439	18.0616	903.759
0.608	15.3792	822.021	0.0077	0.00764071	15.3835	821.895
0.61	13.6227	762.347	0.0082	0.00813276	13.6265	762.253
0.612	13.8016	739.338	0.0077	0.00764071	13.8059	739.234
0.614	16.2825	841.85	0.007	0.006951	16.2875	841.698
0.616	13.6829	725.206	0.0075	0.00744375	13.6875	725.093
0.618	15.5016	877.96	0.0084	0.00832944	15.5052	877.857
0.62	12.7182	732.66	0.0094	0.00931164	12.7208	732.602
0.622	17.0527	873.726	0.0081	0.00803439	17.0566	873.601
0.624	17.9016	953.804	0.0075	0.00744375	17.9062	953.652
0.626	23.6803	1145.37	0.0082	0.00813276	23.6842	1145.2
0.628	17.9778	960.217	0.009	0.008919	17.9808	960.119
0.63	21.5306	1090.71	0.0102	0.010096	21.5325	1090.64
0.632	11.9338	680.122	0.008	0.007936	11.9378	680.036
0.634	17.8613	909.835	0.0106	0.0104876	17.8627	909.791
0.636	23.6388	988.841	0.0091	0.00901719	23.6417	988.711
0.638	25.5991	1174.77	0.0104	0.0102918	25.6007	1174.69
0.64	15.4643	841.614	0.009	0.008919	15.4673	841.528
0.642	16.3181	821.813	0.0082	0.00813276	16.322	821.695
0.644	19.7118	971.312	0.0087	0.00862431	19.7151	971.19
0.646	15.8801	843.118	0.0074	0.00734524	15.8847	842.982
0.648	20.0521	1051.53	0.008	0.007936	20.0561	1051.38
0.65	15.1808	779.608	0.0103	0.0101939	15.1825	779.56
0.652	16.8145	946.623	0.0084	0.00832944	16.8181	946.511
0.654	16.6564	810.273	0.0082	0.00813276	16.6602	810.153
0.656	17.6496	974.437	0.0087	0.00862431	17.6529	974.327
0.658	14.2917	752.012	0.0085	0.00842775	14.2952	751.919
0.66	15.6069	822.202	0.0093	0.00921351	15.6096	822.124
0.662	17.1472	834.422	0.0093	0.00921351	17.15	834.333
0.664	17.2236	832.958	0.0107	0.0105855	17.2249	832.914
0.666	17.3277	953.983	0.0073	0.00724671	17.3324	953.831
0.668	19.04	957.35	0.0092	0.00911536	19.0428	957.251
0.67	16.0373	870.937	0.0087	0.00862431	16.0406	870.84
0.672	11.0931	630.418	0.0072	0.00714816	11.0979	630.322
0.674	17.2565	900.469	0.0105	0.0103898	17.258	900.42
0.676	22.5904	1183.29	0.0095	0.00940975	22.593	1183.18
0.678	21.829	1073.18	0.0093	0.00921351	21.8317	1073.07
0.68	19.1106	915.326	0.0105	0.0103898	19.1122	915.27
0.682	15.9604	821.747	0.0093	0.00921351	15.9631	821.668
0.684	11.1796	595.34	0.007	0.006951	11.1846	595.242
0.686	13.3737	711.88	0.0107	0.0105855	13.375	711.851
0.688	16.2886	836.506	0.0087	0.00862431	16.292	836.407
0.69	15.9415	835.857	0.0091	0.00901719	15.9444	835.775
