3.66	0.25	nan
3.67	0.25	nan
3.68	0.25	nan
3.69	0.25	nan
3.7	0.25	nan
3.71	0.25	nan
3.72	0.25	-0.00176141
3.73	0.25	-0.000911835
3.74	0.25	0.00104023
3.75	0.25	nan
3.76	0.25	nan
3.77	0.25	nan
3.78	0.25	nan
3.79	0.25	0.00107997
3.8	0.25	nan
3.81	0.25	nan
3.82	0.25	nan
3.83	0.25	nan
3.84	0.25	0.000303351
3.85	0.25	nan
3.86	0.25	-0.0035401
3.87	0.25	-0.00293968
3.88	0.25	nan
3.89	0.25	nan
3.9	0.25	nan
3.91	0.25	nan
3.92	0.25	-0.00216254
3.93	0.25	-0.000596073
3.94	0.25	nan
3.95	0.25	nan
3.96	0.25	1.59662e-05
3.97	0.25	nan
3.98	0.25	3.65295e-05
3.99	0.25	nan
4	0.25	nan
4.01	0.25	-nan
4.02	0.25	-nan
4.03	0.25	-nan
4.04	0.25	-nan
4.05	0.25	-nan
4.06	0.25	-nan
4.07	0.25	-nan
4.08	0.25	-nan
4.09	0.25	-nan
4.1	0.25	-nan
4.11	0.25	-nan
4.12	0.25	-nan
4.13	0.25	-nan
4.14	0.25	-nan
4.15	0.25	-nan
4.16	0.25	-nan
4.17	0.25	-nan
4.18	0.25	-nan
4.19	0.25	-nan
4.2	0.25	-nan
3.5	0.3	nan
3.51	0.3	nan
3.52	0.3	nan
3.53	0.3	nan
3.54	0.3	nan
3.55	0.3	nan
3.56	0.3	nan
3.57	0.3	nan
3.58	0.3	nan
3.59	0.3	nan
3.6	0.3	nan
3.61	0.3	nan
3.62	0.3	nan
3.63	0.3	nan
3.64	0.3	nan
3.65	0.3	nan
3.66	0.3	nan
3.67	0.3	nan
3.68	0.3	nan
3.69	0.3	nan
3.7	0.3	nan
3.71	0.3	nan
3.72	0.3	-0.00114495
3.73	0.3	nan
3.74	0.3	0.000857911
3.75	0.3	-0.00101966
3.76	0.3	nan
3.77	0.3	-0.00193465
3.78	0.3	-0.000331549
3.79	0.3	-0.000486873
3.8	0.3	nan
3.81	0.3	nan
3.82	0.3	nan
3.83	0.3	nan
3.84	0.3	0.000993302
3.85	0.3	nan
3.86	0.3	nan
3.87	0.3	nan
3.88	0.3	-0.00248713
3.89	0.3	nan
3.9	0.3	0.000918509
3.91	0.3	nan
3.92	0.3	-0.00141105
3.93	0.3	0.00101783
3.94	0.3	nan
3.95	0.3	nan
3.96	0.3	-0.000744179
3.97	0.3	nan
3.98	0.3	-0.000870074
3.99	0.3	nan
4	0.3	nan
4.01	0.3	-nan
4.02	0.3	-nan
4.03	0.3	-nan
4.04	0.3	-nan
4.05	0.3	-nan
4.06	0.3	-nan
4.07	0.3	-nan
4.08	0.3	-nan
4.09	0.3	-nan
4.1	0.3	-nan
4.11	0.3	-nan
4.12	0.3	-nan
4.13	0.3	-nan
4.14	0.3	-nan
4.15	0.3	-nan
4.16	0.3	-nan
4.17	0.3	-nan
4.18	0.3	-nan
4.19	0.3	-nan
4.2	0.3	-nan
3.5	0.35	nan
3.51	0.35	nan
3.52	0.35	nan
3.53	0.35	nan
3.54	0.35	nan
3.55	0.35	nan
3.56	0.35	nan
3.57	0.35	nan
3.58	0.35	nan
3.59	0.35	nan
3.6	0.35	nan
3.61	0.35	nan
3.62	0.35	nan
3.63	0.35	nan
3.64	0.35	nan
3.65	0.35	nan
3.66	0.35	nan
3.67	0.35	nan
3.68	0.35	nan
3.69	0.35	nan
3.7	0.35	nan
3.71	0.35	nan
3.72	0.35	nan
3.73	0.35	nan
3.74	0.35	-inf
3.75	0.35	nan
3.76	0.35	-0.000503147
3.77	0.35	-0.00201951
3.78	0.35	-0.000998629
3.79	0.35	0.000644387
3.8	0.35	nan
3.81	0.35	nan
3.82	0.35	nan
3.83	0.35	nan
3.84	0.35	0.000839151
3.85	0.35	nan
3.86	0.35	-0.000364178
3.87	0.35	nan
3.88	0.35	nan
3.89	0.35	-0.00069512
3.9	0.35	0.000864371
3.91	0.35	nan
3.92	0.35	nan
3.93	0.35	0.000884268
3.94	0.35	-0.000676061
3.95	0.35	nan
3.96	0.35	nan
3.97	0.35	nan
3.98	0.35	0.000141905
3.99	0.35	-0.00244197
4	0.35	nan
4.01	0.35	-nan
4.02	0.35	-nan
4.03	0.35	-nan
4.04	0.35	-nan
4.05	0.35	-nan
4.06	0.35	-nan
4.07	0.35	-nan
4.08	0.35	-nan
4.09	0.35	-nan
4.1	0.35	-nan
4.11	0.35	-nan
4.12	0.35	-nan
4.13	0.35	-nan
4.14	0.35	-nan
4.15	0.35	-nan
4.16	0.35	-nan
4.17	0.35	-nan
4.18	0.35	-nan
4.19	0.35	-nan
4.2	0.35	-nan
3.5	0.4	nan
3.51	0.4	nan
3.52	0.4	nan
3.53	0.4	nan
3.54	0.4	nan
3.55	0.4	nan
3.56	0.4	nan
3.57	0.4	nan
3.58	0.4	nan
3.59	0.4	nan
3.6	0.4	nan
3.61	0.4	nan
3.62	0.4	nan
3.63	0.4	nan
3.64	0.4	nan
3.65	0.4	nan
3.66	0.4	nan
3.67	0.4	nan
3.68	0.4	nan
3.69	0.4	nan
3.7	0.4	-0.00249505
3.71	0.4	nan
3.72	0.4	nan
3.73	0.4	nan
3.74	0.4	-0.000397869
3.75	0.4	nan
3.76	0.4	-0.00180106
3.77	0.4	nan
3.78	0.4	nan
3.79	0.4	0.000226498
3.8	0.4	-0.000687985
3.81	0.4	nan
3.82	0.4	nan
3.83	0.4	-0.0358205
3.84	0.4	0.00070562
3.85	0.4	0.00021218
3.86	0.4	1.99079e-05
3.87	0.4	nan
3.88	0.4	3.57625e-05
3.89	0.4	nan
3.9	0.4	0.000191078
3.91	0.4	nan
3.92	0.4	nan
3.93	0.4	0.000227931
3.94	0.4	nan
3.95	0.4	nan
3.96	0.4	nan
3.97	0.4	nan
3.98	0.4	0.000113973
3.99	0.4	nan
4	0.4	nan
4.01	0.4	-nan
4.02	0.4	-nan
4.03	0.4	-nan
4.04	0.4	-nan
4.05	0.4	-nan
4.06	0.4	-nan
4.07	0.4	-nan
4.08	0.4	-nan
4.09	0.4	-nan
4.1	0.4	-nan
4.11	0.4	-nan
4.12	0.4	-nan
4.13	0.4	-nan
4.14	0.4	-nan
4.15	0.4	-nan
4.16	0.4	-nan
4.17	0.4	-nan
4.18	0.4	-nan
4.19	0.4	-nan
4.2	0.4	-nan
3.5	0.45	nan
3.51	0.45	nan
3.52	0.45	nan
3.53	0.45	nan
3.54	0.45	nan
3.55	0.45	nan
3.56	0.45	nan
3.57	0.45	nan
3.58	0.45	nan
3.59	0.45	nan
3.6	0.45	nan
3.61	0.45	nan
3.62	0.45	nan
3.63	0.45	nan
3.64	0.45	nan
3.65	0.45	nan
3.66	0.45	nan
3.67	0.45	nan
3.68	0.45	nan
3.69	0.45	nan
3.7	0.45	nan
3.71	0.45	nan
3.72	0.45	-0.00151019
3.73	0.45	nan
3.74	0.45	-0.0347596
3.75	0.45	nan
3.76	0.45	nan
3.77	0.45	nan
3.78	0.45	-0.00124994
3.79	0.45	0.000376967
3.8	0.45	nan
3.81	0.45	nan
3.82	0.45	nan
3.83	0.45	nan
3.84	0.45	0.000587837
3.85	0.45	nan
3.86	0.45	-0.00268057
3.87	0.45	nan
3.88	0.45	-0.00117686
3.89	0.45	nan
3.9	0.45	0.000613057
3.91	0.45	nan
3.92	0.45	nan
3.93	0.45	0.000632953
3.94	0.45	-0.00165629
3.95	0.45	nan
3.96	0.45	nan
3.97	0.45	nan
3.98	0.45	-0.000491853
3.99	0.45	nan
4	0.45	nan
4.01	0.45	-nan
4.02	0.45	-nan
4.03	0.45	-nan
4.04	0.45	-nan
4.05	0.45	-nan
4.06	0.45	-nan
4.07	0.45	-nan
4.08	0.45	-nan
4.09	0.45	-nan
4.1	0.45	-nan
4.11	0.45	-nan
4.12	0.45	-nan
4.13	0.45	-nan
4.14	0.45	-nan
4.15	0.45	-nan
4.16	0.45	-nan
4.17	0.45	-nan
4.18	0.45	-nan
4.19	0.45	-nan
4.2	0.45	-nan
3.5	0.5	nan
3.51	0.5	nan
3.52	0.5	nan
3.53	0.5	nan
3.54	0.5	nan
3.55	0.5	nan
3.56	0.5	nan
3.57	0.5	nan
3.58	0.5	nan
3.59	0.5	nan
3.6	0.5	nan
3.61	0.5	nan
3.62	0.5	nan
3.63	0.5	nan
3.64	0.5	nan
3.65	0.5	nan
3.66	0.5	nan
3.67	0.5	nan
3.68	0.5	nan
3.69	0.5	nan
3.7	0.5	nan
3.71	0.5	nan
3.72	0.5	nan
3.73	0.5	nan
3.74	0.5	0.000347086
3.75	0.5	nan
3.76	0.5	nan
3.77	0.5	-0.00244548
3.78	0.5	nan
3.79	0.5	0.000358461
3.8	0.5	nan
3.81	0.5	nan
3.82	0.5	nan
3.83	0.5	-inf
3.84	0.5	0.000482476
3.85	0.5	nan
3.86	0.5	nan
3.87	0.5	nan
3.88	0.5	-0.000184741
3.89	0.5	-0.00329451
3.9	0.5	0.000407683
3.91	0.5	nan
3.92	0.5	-0.00117436
3.93	0.5	0.000176097
3.94	0.5	nan
3.95	0.5	nan
3.96	0.5	-0.001255
3.97	0.5	nan
3.98	0.5	-0.00108857
3.99	0.5	nan
4	0.5	nan
4.01	0.5	-nan
4.02	0.5	-nan
4.03	0.5	-nan
4.04	0.5	-nan
4.05	0.5	-nan
4.06	0.5	-nan
4.07	0.5	-nan
4.08	0.5	-nan
4.09	0.5	-nan
4.1	0.5	-nan
4.11	0.5	-nan
4.12	0.5	-nan
4.13	0.5	-nan
4.14	0.5	-nan
4.15	0.5	-nan
4.16	0.5	-nan
4.17	0.5	-nan
4.18	0.5	-nan
4.19	0.5	-nan
4.2	0.5	-nan
3.5	0.55	nan
3.51	0.55	nan
3.52	0.55	nan
3.53	0.55	nan
3.54	0.55	nan
3.55	0.55	nan
3.56	0.55	nan
3.57	0.55	nan
3.58	0.55	nan
3.59	0.55	nan
3.6	0.55	nan
3.61	0.55	nan
3.62	0.55	nan
3.63	0.55	nan
3.64	0.55	nan
3.65	0.55	nan
3.66	0.55	nan
3.67	0.55	nan
3.68	0.55	nan
3.69	0.55	nan
3.7	0.55	nan
3.71	0.55	-0.00204214
3.72	0.55	-0.00254986
3.73	0.55	-0.00170029
3.74	0.55	0.000251775
3.75	0.55	nan
3.76	0.55	nan
3.77	0.55	nan
3.78	0.55	-0.00177804
